Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
ADC1,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
"C1, C11, C2, C4",805,4,10uF,C1713
"C10, C12, C5, C7, C9",603,5,100nF,C1591
"C14, C15",603,2,22uF,C86295
"C6, C8",805,2,1uF,C1761
DAC1,SOT-23-6,1,MCP4725xxx-xCH,C61423
J1,CUI_PJ-063AH,1,PJ-063AH,
"J10, J11, J12, J13, J14, J5, J6, J9",PinHeader_1x01_P2.00mm_Vertical,8,Conn_01x01_Socket,
"J2, J7, J8",PinHeader_1x03_P2.00mm_Vertical,3,Conn_01x03_Socket,
L1,IND_BOURNS_SRR4028,1,SRR4028-4R7Y,C1331991
Q1,TO-220-3_Vertical,1,IRF3205,
"R1, R2, R8",805,3,10k,C17414
R6,805,1,100,C17408
SHUNT1,2512,1,1,C5127857
TS1,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP9808_DFN,C194710
U1,D8,1,LM358DR,C2683482
U3,TSOT-23-6,1,AP63200WU,C2071868
