Designator,Mid X,Mid Y,Rotation,Layer
A1,148.16,-109.49,90.0,top
ADC1,137.5,-91.5,90.0,top
C1,166.0,-99.0,0.0,top
C10,161.0,-93.0,0.0,top
C11,148.0,-62.5,0.0,top
C12,145.8625,-67.0,90.0,top
C14,144.0,-73.5,90.0,top
C15,147.0,-76.5,90.0,top
C2,138.0,-98.5,90.0,top
C4,157.5,-62.700682,90.0,top
C5,129.5,-92.5,180.0,top
C6,131.5,-89.5,90.0,top
C7,142.0,-93.0,90.0,top
C8,144.0,-91.0,90.0,top
C9,161.5,-85.5,0.0,top
DAC1,146.55,-94.1375,90.0,top
J1,164.3375,-66.5,0.0,top
J10,141.5,-84.0,0.0,top
J11,138.6925,-81.0,0.0,top
J12,138.5,-76.0,0.0,top
J13,151.0,-74.5,0.0,top
J14,153.5,-68.5,0.0,top
J2,167.0,-93.0,180.0,top
J5,150.5,-98.5,0.0,top
J6,143.5,-98.5,0.0,top
J7,158.5,-98.5,90.0,top
J8,168.5,-82.5,0.0,top
J9,145.5,-87.5,0.0,top
L1,157.0,-79.5,0.0,top
Q1,135.0,-65.05,180.0,top
R1,126.0,-75.0,270.0,top
R2,128.5,-87.5,270.0,top
R6,139.5,-72.0,90.0,top
R8,155.0,-71.0,180.0,top
SHUNT1,132.0,-78.0,180.0,top
TS1,156.075,-94.15,270.0,top
U1,157.0,-89.0,0.0,top
U3,149.5,-66.0,0.0,top
