"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"U3","1","AP63200WU","","","","Package_TO_SOT_SMD:TSOT-23-6","https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf"
"U1","1","LM358DR","","","","LM358DR:D8","https://www.ti.com/lit/gpn/lm358"
"TS1","1","MCP9808_DFN","","","","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm","http://ww1.microchip.com/downloads/en/DeviceDoc/MCP9808-0.5C-Maximum-Accuracy-Digital-Temperature-Sensor-Data-Sheet-DS20005095B.pdf"
"Shunt1","1","1","","","","Resistor_SMD:R_2512_6332Metric",""
"R6","1","100","","","","Resistor_SMD:R_0805_2012Metric",""
"R1,R2,R8","3","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"Q1","1","IRF3205","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf3205.pdf"
"L1","1","SRR4028-4R7Y","","","","SRR4028:IND_BOURNS_SRR4028","SRR4028-4R7Y"
"J5,J6,J9,J10,J11,J12,J13,J14","8","Conn_01x01_Socket","","","","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"J2,J7,J8","3","Conn_01x03_Socket","","","","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical",""
"J1","1","DC Jack 12V","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal",""
"DAC1","1","MCP4725xxx-xCH","","","","Package_TO_SOT_SMD:SOT-23-6","http://ww1.microchip.com/downloads/en/DeviceDoc/22039d.pdf"
"C14,C15","2","22uF","","","","Capacitor_SMD:C_0603_1608Metric",""
"C6,C8","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5,C7,C9,C10,C12","5","100nF","","","","Capacitor_SMD:C_0603_1608Metric",""
"C1,C2,C4,C11","4","10uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"ADC1","1","ADS1115IDGS","","","","Package_SO:TSSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads1113.pdf"
"A1","1","Arduino_Nano_v2.x","","","","Module:Arduino_Nano","https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf"
