Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, GND1, RES1, RES2, SDA/SCL1",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02_Socket,
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
ADC1,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
"C1, C11, C2, C4",0805,4,10uF,
"C10, C12, C5, C7, C9",0603,5,100nF,
"C14, C15",0603,2,22uF,
"C6, C8",0805,2,1uF,
D1,0603,1,LED,
DAC1,SOT-23-6,1,MCP4725xxx-xCH,
F1,1210,1,Fuse,
J1,BarrelJack_CUI_PJ-063AH_Horizontal,1,DC Jack 12V,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
L1,IND_BOURNS_SRR4028,1,SRR4028-4R7Y,
Q1,TO-220-3_Vertical,1,IRF3205,
"R1, R2, R8",0805,3,10k,
R10,0805,1,1k,
"R11, R4",0805,2,4.7k,
R12,0805,1,3.3k,
R3,0805,1,5.1k,
R6,0805,1,100,
R9,0805,1,2.2k,
SHUNT1,2512,1,1,
U1,D8,1,LM358DR,
U2,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
U3,TSOT-23-6,1,AP63200WU,
U4,TO-92_Inline,1,DS18B20,
U5,S-2050_NDC,1,S-2050,
