Designator,Mid X,Mid Y,Rotation,Layer
3V3,188.48,-118.25,270.0,top
A1,179.22,-130.38,90.0,top
ADC1,150.0,-109.0,90.0,top
C1,197.06,-119.89,0.0,top
C10,137.98125,-62.25,270.0,top
C11,168.6375,-63.5,0.0,top
C12,166.5,-68.0,90.0,top
C14,169.5,-79.25,90.0,top
C15,173.0,-79.25,90.0,top
C2,169.06,-119.39,90.0,top
C4,188.5,-63.0,90.0,top
C5,142.0,-110.0,180.0,top
C6,144.0,-107.0,90.0,top
C7,156.0,-110.5,90.0,top
C8,157.95,-108.5,90.0,top
C9,190.5362,-103.405,0.0,top
D1,176.0,-62.73,0.0,top
DAC1,160.5,-111.6375,90.0,top
F1,159.5,-74.0,180.0,top
GND1,192.98,-112.5,270.0,top
J1,195.9,-66.0,90.0,top
J3,130.48,-137.5,270.0,top
L1,187.0,-93.0,0.0,top
Q1,143.76875,-69.3,180.0,top
R1,139.5,-81.25,270.0,top
R10,179.5,-89.0,0.0,top
R11,179.7198,-78.6298,0.0,top
R12,179.7198,-82.0,0.0,top
R2,141.0,-87.75,270.0,top
R3,181.425,-62.5,0.0,top
R4,132.23125,-62.5,270.0,top
R6,150.5,-75.25,180.0,top
R8,181.0,-72.0,180.0,top
R9,179.7198,-85.5,0.0,top
RES1,164.27,-86.0,90.0,top
RES2,160.5,-101.48,180.0,top
SDA/SCL1,177.73,-117.0,270.0,top
SHUNT1,151.5,-88.25,180.0,top
U1,186.0362,-106.905,0.0,top
U2,130.5,-133.5,180.0,top
U3,170.1375,-67.0,0.0,top
U4,143.96125,-64.0,0.0,top
